cell,variant,replica,completed,delivered_bytes,fct_us,goodput_bps,retransmits,rto_events,drops,ce_marks,qdelay_p50_us,qdelay_p95_us,qdelay_p99_us
rtt5_loss0_bw10,edgecc,0,true,4194304,3951764,1061375,721,0,721,0,3008,3121,3504
rtt5_loss0_bw10,edgecc,1,true,4194304,3951764,1061375,721,0,721,0,3008,3121,3504
rtt5_loss0_bw10,edgecc,2,true,4194304,3951764,1061375,721,0,721,0,3008,3121,3504
rtt5_loss0_bw10,edgecc_no_prand,0,true,4194304,3951764,1061375,721,0,721,0,3008,3121,3504
rtt5_loss0_bw10,edgecc_no_prand,1,true,4194304,3951764,1061375,721,0,721,0,3008,3121,3504
rtt5_loss0_bw10,edgecc_no_prand,2,true,4194304,3951764,1061375,721,0,721,0,3008,3121,3504
rtt5_loss0_bw10,edgecc_loss_blind,0,true,4194304,3951764,1061375,721,0,721,0,3008,3121,3504
rtt5_loss0_bw10,edgecc_loss_blind,1,true,4194304,3951764,1061375,721,0,721,0,3008,3121,3504
rtt5_loss0_bw10,edgecc_loss_blind,2,true,4194304,3951764,1061375,721,0,721,0,3008,3121,3504
rtt5_loss0_bw10,edgecc_prior,0,true,4194304,4880644,859375,860,1,860,0,2768,3136,3504
rtt5_loss0_bw10,edgecc_prior,1,true,4194304,4880644,859375,860,1,860,0,2768,3136,3504
rtt5_loss0_bw10,edgecc_prior,2,true,4194304,4880644,859375,860,1,860,0,2768,3136,3504
rtt5_loss0_bw10,bbr3ref,0,true,4194304,5806336,722366,1137,11,815,0,3008,3008,3008
rtt5_loss0_bw10,bbr3ref,1,true,4194304,5806336,722366,1137,11,815,0,3008,3008,3008
rtt5_loss0_bw10,bbr3ref,2,true,4194304,5806336,722366,1137,11,815,0,3008,3008,3008
rtt5_loss0_bw10,lossblindref,0,true,4194304,3951764,1061375,721,0,721,0,3008,3121,3504
rtt5_loss0_bw10,lossblindref,1,true,4194304,3951764,1061375,721,0,721,0,3008,3121,3504
rtt5_loss0_bw10,lossblindref,2,true,4194304,3951764,1061375,721,0,721,0,3008,3121,3504
rtt5_loss0_bw10,cubicref,0,true,4194304,5428528,772641,5148,8,2392,0,3008,3008,3008
rtt5_loss0_bw10,cubicref,1,true,4194304,5428528,772641,5148,8,2392,0,3008,3008,3008
